Genus,Species,Binomial,Height.max..m.,Height.actual..m.,P50..MPa.,P12..MPa.,P88..MPa.,Slope,Ks..kg.m.1.MPa.1.s.1.,KL..kg.m.1.MPa.1.s.1.,Huber.value,SLA..cm2.g.1.,Latitude,Longitude,Altitude..m.,MATbest,PPTbest,References
Atriplex,canescens,Atriplex canescens,NA,NA,-1.884,NA,-4.463,14.73439318,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Atriplex,canescens,Atriplex canescens,NA,NA,-1.414,NA,-2.756,28.31594635,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Atriplex,confertifolia,Atriplex confertifolia,NA,NA,-1.583,NA,-4.277,14.10541945,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Atriplex,confertifolia,Atriplex confertifolia,NA,NA,-1.662,NA,-3.997,16.27408994,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Chrysothamnus,nauseosus,Chrysothamnus nauseosus,NA,NA,-1.884,NA,-3.735,20.52944354,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Chrysothamnus,nauseosus,Chrysothamnus nauseosus,NA,NA,-0.932,NA,-2.656,22.04176334,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Chrysothamnus,parryi,Chrysothamnus parryi,NA,NA,-2.766,NA,-4.742,19.23076923,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Chrysothamnus,viscidiflorus,Chrysothamnus viscidiflorus,NA,NA,-1.62,NA,-3.61,19.09547739,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Chrysothamnus,viscidiflorus,Chrysothamnus viscidiflorus,NA,NA,-1.243,NA,-3.48,16.98703621,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Grayia,spinosa,Grayia spinosa,NA,NA,-2.252,NA,-5.282,12.54125413,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Juniperus,virginiana,Juniperus virginiana,NA,NA,-4.59,-2.46,NA,NA,NA,NA,NA,NA,44.4666666666667,-73.2,122,6.8,866,Sperry & Tyree 1990
Sarcobatus,vermiculatus,Sarcobatus vermiculatus,NA,NA,-2.054,NA,-7.735,6.688963211,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Sarcobatus,vermiculatus,Sarcobatus vermiculatus,NA,NA,-2.221,NA,-4.225,18.96207585,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Tetradymia,glabrata,Tetradymia glabrata,NA,NA,-3.497,NA,-6.994,10.86645696,NA,NA,NA,NA,40.2,-112.316666666667,1547,9.5,273,Sperry & Hacke 2002
Tetradymia,glabrata,Tetradymia glabrata,NA,NA,-2.485,NA,-5.53,12.47947455,NA,NA,NA,NA,40.25,-112.733333333333,1463,10.3,194,Sperry & Hacke 2002
Acer,grandidentatum,Acer grandidentatum,NA,NA,-4,NA,NA,NA,NA,NA,NA,NA,40.05,-111.783333333333,1390,10.2,393,Sperry & Hacke 2004
Acer,grandidentatum,Acer grandidentatum,NA,NA,-0.8,NA,NA,NA,NA,NA,NA,NA,40.05,-111.783333333333,1390,10.2,393,Sperry & Hacke 2004
Acer,rubrum,Acer rubrum,NA,NA,-3.3,NA,NA,NA,NA,NA,NA,NA,35.9666666666667,-79.1333333333333,171,14.6,1162,Sperry & Hacke 2004
Nerium,oleander,Nerium oleander,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,34.0416666666667,-118.708333333333,232,16.4,380,Sperry & Hacke 2004
Prunus,virginiana,Prunus virginiana,NA,NA,-3.8,NA,NA,NA,NA,NA,NA,NA,40.05,-111.783333333333,1390,10.2,393,Sperry & Hacke 2004
Tetradymia,glabrata,Tetradymia glabrata,NA,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,40.2210527777778,-112.744411111111,1475,10.2,273,Sperry & Hacke 2004
Abies,concolor,Abies concolor,NA,NA,-5.153,-3.249,-6.356,31.58769742,NA,NA,NA,NA,40.8,-111.766666666667,1915,6.3,667,Sperry & Ikeda 1997
Abies,concolor,Abies concolor,NA,NA,-4.51,NA,-5.295,48.40764331,NA,NA,NA,NA,40.8,-111.766666666667,1915,6.3,667,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-4.596,-2.203,-5.728,33.56890459,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-3.931,-3.09,-4.757,46.00484262,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-1.754,-0.539,-4.106,16.15646259,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-5.04,-3.201,-6.144,34.42028986,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Pseudotsuga,menziesii,Pseudotsuga menziesii,NA,NA,-4.43,NA,-5.173,51.14401077,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Ikeda 1997
Betula,occidentalis,Betula occidentalis,15,13.5,-1.831,-0.431,-2.462,60.22187005,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-1.522,-0.741,-1.863,111.4369501,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-1.462,-1.014,-1.719,147.8599222,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-0.507,-0.184,-1.583,35.31598513,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Betula,occidentalis,Betula occidentalis,15,13.5,-1.285,-0.907,-1.482,192.893401,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Saliendra 1994
Abies,lasiocarpa,Abies lasiocarpa,NA,NA,-3.178,-2.501,-3.724,69.5970696,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Abies,lasiocarpa,Abies lasiocarpa,NA,NA,-3.048,-2.156,-3.465,91.12709832,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Abies,lasiocarpa,Abies lasiocarpa,NA,NA,-3.1,NA,NA,NA,NA,NA,NA,NA,40.6,-111.566666666667,2825,1.8,956,Sperry & Sullivan 1992
Betula,occidentalis,Betula occidentalis,NA,NA,-1.648,-1.22,-2.054,93.59605911,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Betula,occidentalis,Betula occidentalis,NA,NA,-1.045,NA,-1.774,52.12620027,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Betula,occidentalis,Betula occidentalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Juniperus,scopulorum,Juniperus scopulorum,NA,NA,-7.377,-5.15,-8.678,29.20830131,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Sullivan 1992
Juniperus,scopulorum,Juniperus scopulorum,NA,NA,-6.149,-4.44,-8.074,19.74025974,NA,NA,NA,NA,40.75,-111.6,2133,5.2,747,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,-2.744,NA,-4.537,21.1935304,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,-1.145,-0.259,NA,NA,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,-0.497,NA,NA,NA,NA,NA,NA,NA,40.6038388888889,-111.582141666667,2825,1.8,956,Sperry & Sullivan 1992
Populus,tremuloides,Populus tremuloides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6038388888889,-111.566666666667,2825,1.8,956,Sperry & Sullivan 1992
Quercus,gambelii,Quercus gambelii,NA,NA,NA,NA,-4.556,8.340649693,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Quercus,gambelii,Quercus gambelii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,-111.766666666667,1370,9.6,667,Sperry & Sullivan 1992
Acer,saccharum,Acer saccharum,NA,NA,-0.865,NA,-2.326,26.00958248,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1988
Acer,saccharum,Acer saccharum,NA,NA,-3.871,-0.312,-4.471,63.33333333,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1988
Abies,balsamea,Abies balsamea,NA,NA,-2.87,-1.89,-3.51,59.375,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1990
Abies,balsamea,Abies balsamea,NA,NA,-2.7,-2.19,-3.17,79.49790795,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1990
Abies,balsamea,Abies balsamea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1990
Abies,balsamea,Abies balsamea,NA,NA,-0.65,-0.43,-2.38,21.87679908,NA,NA,NA,NA,44.5,-73.1166666666667,110,6.8,891,Sperry & Tyree 1990
Juniperus,virginiana,Juniperus virginiana,NA,NA,-4.96,-3.31,NA,NA,NA,NA,NA,NA,44.4666666666667,-73.2,122,6.8,866,Sperry & Tyree 1990
Juniperus,virginiana,Juniperus virginiana,NA,NA,-6.3,-4.3,NA,NA,NA,NA,NA,NA,44.4666666666667,-73.2,122,6.8,866,Sperry & Tyree 1990
Juniperus,virginiana,Juniperus virginiana,NA,NA,-3.12,NA,NA,NA,NA,NA,NA,NA,44.4666666666667,-73.2,122,6.8,866,Sperry & Tyree 1990
Picea,rubens,Picea rubens,NA,NA,-3.43,-2.03,NA,NA,NA,NA,NA,NA,44.3166666666667,-72.75,159,6.2,991,Sperry & Tyree 1990
Picea,rubens,Picea rubens,NA,NA,-3.53,-2.78,NA,NA,NA,NA,NA,NA,44.3166666666667,-72.75,159,6.2,991,Sperry & Tyree 1990
Picea,rubens,Picea rubens,NA,NA,-0.3,-0.15,-3.28,12.74312542,NA,NA,NA,NA,44.3166666666667,-72.75,159,6.2,991,Sperry & Tyree 1990
Picea,rubens,Picea rubens,NA,NA,-2.44,-0.47,NA,NA,NA,NA,NA,NA,44.3166666666667,-72.75,159,6.2,991,Sperry & Tyree 1990
Acer,saccharum,Acer saccharum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sperry et al. 1988a
Alnus,crispa,Alnus crispa,NA,NA,-1.707,-1.001,-2.485,48.84318766,NA,NA,NA,NA,65.1,146,330,-4.1,299,Sperry et al. 1994
Alnus,crispa,Alnus crispa,NA,NA,-1.187,-0.855,-1.509,118.0124224,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Alnus,incana,Alnus incana,NA,NA,-1.703,-1.315,-2.153,84.44444444,NA,NA,NA,NA,40.8,-111.766666666667,1700,7.6,667,Sperry et al. 1994
Alnus,incana,Alnus incana,NA,NA,-1.01,NA,-1.202,197.9166667,NA,NA,NA,NA,40.8,-111.766666666667,1700,7.6,667,Sperry et al. 1994
Betula,occidentalis,Betula occidentalis,NA,NA,-1.713,-1.196,-2.182,81.02345416,NA,NA,NA,NA,40.8,-111.766666666667,1700,7.6,667,Sperry et al. 1994
Betula,occidentalis,Betula occidentalis,NA,NA,-1.108,NA,-1.928,46.34146341,NA,NA,NA,NA,40.8,-111.766666666667,1700,7.6,667,Sperry et al. 1994
Betula,papyrifera,Betula papyrifera,NA,NA,-2.337,-1.302,-3.118,48.65556978,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Betula,papyrifera,Betula papyrifera,NA,NA,-1.596,NA,-1.914,119.4968553,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Picea,glauca,Picea glauca,NA,NA,-3.813,-2.779,NA,NA,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Picea,glauca,Picea glauca,NA,NA,NA,-2.779,NA,NA,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Populus,tremuloides,Populus tremuloides,NA,NA,-2.68,NA,-4.547,20.3535083,NA,NA,NA,NA,40.6,-111.566666666667,2825,1.8,956,Sperry et al. 1994
Populus,tremuloides,Populus tremuloides,NA,NA,-0.581,NA,-2.397,20.92511013,NA,NA,NA,NA,40.6,-111.566666666667,2825,1.8,956,Sperry et al. 1994
Populus,tremuloides,Populus tremuloides,NA,NA,NA,-1.368,NA,NA,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Populus,tremuloides,Populus tremuloides,NA,NA,-1.274,NA,NA,NA,NA,NA,NA,NA,65.1,-146.766666666667,330,-4.1,299,Sperry et al. 1994
Ascarina,lucida,Ascarina lucida,NA,NA,-1.869,-1.265,-2.82,39.95793901,NA,NA,NA,NA,-42.7507638888889,-171.057805555556,30,11.9,3171,Sperry et al. 2007
Ascarina,rubricaulis,Ascarina rubricaulis,NA,NA,-2.797,-2.031,-3.389,64.18918919,NA,NA,NA,NA,-22.047,166.469,900,NA,NA,Sperry et al. 2007
Ascarina,solmsiana,Ascarina solmsiana,NA,NA,-2.634,-2.007,-3.632,38.0761523,NA,NA,NA,NA,-22.166,166.534,530,NA,NA,Sperry et al. 2007
Austrobaileya,scandens,Austrobaileya scandens,NA,NA,-0.499,-0.128,-1.973,25.78018996,NA,NA,NA,NA,-16.5561111111111,145.274944444444,1040,NA,NA,Sperry et al. 2007
Calycanthus,floridus,Calycanthus floridus,NA,NA,-2.112,-0.36,-3.656,24.61139896,NA,NA,NA,NA,35.2025833333333,-82.2424166666667,1109,10.5,1394,Sperry et al. 2007
Canella,winterana,Canella winterana,NA,NA,-0.232,-0.07,-1.01,48.84318766,NA,NA,NA,NA,26.0498055555556,-82.9138861111111,10,23.4,1334,Sperry et al. 2007
Eupomatia,laurina,Eupomatia laurina,NA,NA,-0.395,-0.093,-1.822,26.62929222,NA,NA,NA,NA,-16.8993361111111,145.750725,10,24.7,2241,Sperry et al. 2007
Galbulimima,baccata,Galbulimima baccata,NA,NA,-1.3,-0.302,-3.598,16.53611836,NA,NA,NA,NA,-16.8197222222222,145.645361111111,300,23.9,1749,Sperry et al. 2007
Hedyosmum,goudotianum,Hedyosmum goudotianum,NA,NA,-1.741,-0.418,-2.426,55.47445255,NA,NA,NA,NA,10.3189722222222,-84.8861388888889,1820,16.8,2899,Sperry et al. 2007
Hedyosmum,mexicanum,Hedyosmum mexicanum,10,NA,-0.789,NA,NA,NA,NA,NA,NA,NA,10.0251111111111,-84.1253333333333,2500,13.3,3131,Sperry et al. 2007
Idiospermum,australiense,Idiospermum australiense,30,NA,-0.615,-0.128,-2.565,19.48717949,NA,NA,NA,NA,-16.8993361111111,145.750725,10,24.7,2241,Sperry et al. 2007
Illicium,anisatum,Illicium anisatum,NA,NA,-3.656,-0.963,-4.7,36.39846743,NA,NA,NA,NA,35.0116361111111,135.768027777778,220,14.4,1720,Sperry et al. 2007
Illicium,floridanum,Illicium floridanum,NA,NA,-3.284,-2.716,-4.248,39.41908714,NA,NA,NA,NA,29.9546472222222,-90.0750722222222,3,20.5,1570,Sperry et al. 2007
Schisandra,glabra,Schisandra glabra,NA,NA,-1.056,-0.186,-1.973,41.43947655,NA,NA,NA,NA,34.6734444444444,-83.3540277777778,275,15.2,1507,Sperry et al. 2007
Trimenia,moorei,Trimenia moorei,NA,NA,-0.383,-0.104,-1.103,52.77777778,NA,NA,NA,NA,-29.2497083333333,152.123972222222,1150,13.2,1134,Sperry et al. 2007
Trimenia,neocaledonica,Trimenia neocaledonica,NA,NA,-1.253,-0.174,-3.679,15.66364386,NA,NA,NA,NA,-21.1824722222222,165.292388888889,890,18.4,1579,Sperry et al. 2007
Adansonia,rubrostipa,Adansonia rubrostipa,25,NA,-1.1,-0.293,-2.82,22.09302326,NA,NA,NA,NA,-20.45,44.8166666666667,150,24.3,770,Chapotin et al. 2006
Adansonia,za,Adansonia za,40,NA,-1.7,-0.59,-3.49,21.22905028,NA,NA,NA,NA,-20.45,44.8166666666667,150,24.3,770,Chapotin et al. 2006
Fraxinus,americana,Fraxinus americana,24,15,-1.92,NA,NA,NA,NA,NA,NA,NA,42.35,-71.0833333333333,20,10,1086,Choat et al. 2004
Sophora,japonica,Sophora japonica,18,15,-2.6,NA,NA,NA,NA,NA,NA,NA,42.35,-71.0833333333333,20,10,1086,Choat et al. 2004
Alphitonia,excelsa,Alphitonia excelsa,25,5,-5.56,-2.1,-9.05,10.88825215,4.89,0.001003,0.000216,94.4,-19.1833333333333,145.75,60,18.5,1132,Choat et al. 2005
Austromyrtus,bidwillii,Austromyrtus bidwillii,25,6,-5.12,NA,-12,5.523255814,1.24,0.00018,0.000157,116.1,-19.1833333333333,145.75,60,18.5,1132,Choat et al. 2005
Brachychiton,australis,Brachychiton australis,20,8,-3.17,-1.2,-5.15,19.19191919,6.46,0.002019,0.000319,134.4,-19.1833333333333,145.75,60,18.5,1132,Choat et al. 2005
Cochlospermum,gillivraei,Cochlospermum gillivraei,15,6,-1.44,-0.85,-2.05,62.29508197,7.75,0.003982,0.000569,165,-19.1833333333333,145.75,60,18.5,1132,Choat et al. 2005
Cordia,alliodora,Cordia alliodora,35,35,-3.6,-1.05,-6.02,15.70247934,9.562827947,0.001258637,0.000128561,101.3067281,10.35,-85.35,20,26.5,1460,Choat et al. 2007
Cordia,alliodora,Cordia alliodora,35,20,-1.78,NA,-3.65,20.32085561,8.931733887,0.001022978,0.000112209,116.2621607,10.4166666666667,-84,70,26,4200,Choat et al. 2007
Cordia,alliodora,Cordia alliodora,35,8,-2.93,-0.75,-5.15,17.11711712,10.99587564,0.001203539,0.000107601,114.4952373,9.166666667,-79.846036,100,26.3,2600,Choat et al. 2007
Cordia,collococa,Cordia collococa,15,8,-2.34,-0.65,-4.05,22.22222222,3.71533023,0.000404829,0.000111544,75.65508966,10.35,-85.35,20,26.5,1460,Choat et al. 2007
Cordia,cymosa,Cordia cymosa,30,10,-1.2,NA,-2.55,28.14814815,7.806902666,0.000807631,0.0000964,136.9162853,10.4166666666667,-84,70,26,4200,Choat et al. 2007
Cordia,dentata,Cordia dentata,10,7,-3.6,-1,-6.25,14.33962264,1.504974247,0.000251484,0.000177459,113.7434,10.35,-85.35,20,26.5,1460,Choat et al. 2007
Cordia,inermis,Cordia inermis,5,3,NA,NA,NA,NA,1.842397477,0.000248493,0.000131709,326.2398287,10.35,-85.35,20,26.5,1460,Choat et al. 2007
Cordia,lasiocalyx,Cordia lasiocalyx,10,6,-2.57,-0.9,-4.27,22.35294118,3.764341188,0.000191891,0.000067,178.5176439,9.166666667,-79.846036,100,26.3,2600,Choat et al. 2007
Cordia,lucidula,Cordia lucidula,10,6,-1.58,-0.23,-2.97,27.3381295,3.323462731,0.000288741,0.0000546,178.2559317,10.4166666666667,-84,70,26,4200,Choat et al. 2007
Cordia,panamensis,Cordia panamensis,15,10,-2.33,-1.07,-3.61,29.6875,11.63171081,0.000731387,0.000068,110.3015463,9.166666667,-79.846036,100,26.3,2600,Choat et al. 2007
Cordia,pringlei,Cordia pringlei,4,2,NA,NA,NA,NA,2.270660158,0.000341648,0.00015373,176.2067491,10.35,-85.35,20,26.5,1460,Choat et al. 2007
Acer,glabrum,Acer glabrum,10,NA,-2.3,NA,NA,NA,1.17,NA,NA,NA,40.7,111,2133.6,5.7,757,Christman et al. 2009
Acer,grandidentatum,Acer grandidentatum,15,NA,-2.9,NA,NA,NA,0.98,NA,NA,NA,40.7833333333333,-111.783333333333,1770,5.7,757,Christman et al. 2009
Acer,negundo,Acer negundo,15,NA,-1.7,NA,NA,NA,1.32,NA,NA,NA,40.7833333333333,-111.783333333333,1770,5.7,757,Christman et al. 2009
Arbutus,unedo,Arbutus unedo,10,NA,-0.54,-0.11,-8.5,4.773869347,NA,NA,NA,NA,30.65,20.3,620,13.6,1364,Iovi et al. 2009
Carpinus,orientalis,Carpinus orientalis,10,NA,-4.35,-0.64,-8.05,10.27027027,NA,NA,NA,NA,30.65,20.3,662,13.6,1364,Iovi et al. 2009
Cistus,creticus,Cistus creticus,2,NA,-5.2,-3.18,-5.99,48.10126582,NA,NA,NA,NA,30.65,20.3,620,13.6,1364,Iovi et al. 2009
Phillyrea,latifolia,Phillyrea latifolia,7,NA,-7,-1.83,-12.17,7.350096712,NA,NA,NA,NA,30.65,20.3,793,12.5,1621,Iovi et al. 2009
Phlomis,fruticosa,Phlomis fruticosa,2,NA,-2.48,-0.65,-5.76,11.58536585,NA,NA,NA,NA,30.65,20.3,566,14.4,1138,Iovi et al. 2009
Pyrus,amygdaliformis,Pyrus amygdaliformis,10,NA,-3.29,-1.43,-5.15,20.43010753,NA,NA,NA,NA,30.65,20.3,620,13.6,1364,Iovi et al. 2009
Quercus,frainetto,Quercus frainetto,38,NA,-4.56,-0.73,-8.38,9.947643979,NA,NA,NA,NA,30.65,20.3,873,12.5,1465,Iovi et al. 2009
Rhizophora,mangle,Rhizophora mangle,24,NA,-4.4,-1.82,-6.02,23.45679012,1.4,0.000538,NA,NA,21.5,157.833333333333,1,25.1,2220,Melcher et al. 2001
Rhizophora,mangle,Rhizophora mangle,24,NA,-6.3,-2.2,-7.35,36.19047619,0.4,0.000189,NA,NA,21.5,157.833333333333,1,25.1,2220,Melcher et al. 2001
Acer,saccharum,Acer saccharum,20,NA,-2.04,-1.19,-3.15,34.23423423,NA,NA,NA,NA,42.2833333333333,-71.1333333333333,20,10,1124,Melcher et al. 2003
Acer,saccharum,Acer saccharum,20,NA,-1.43,NA,-3.2,21.46892655,NA,NA,NA,NA,42.2833333333333,-71.1333333333333,20,10,1124,Melcher et al. 2003
Aspidosperma,cruenta,Aspidosperma cruenta,NA,NA,NA,NA,NA,NA,NA,0.0002844,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Chrysophyllum,cainito,Chrysophyllum cainito,20,NA,NA,NA,NA,NA,NA,0.0006084,NA,NA,9.16666666666667,79.85,50,26.9,1800,Santiago et al. 2004
Cordia,alliodora,Cordia alliodora,35,NA,NA,NA,NA,NA,NA,0.0011088,NA,NA,9.16666666666667,79.85,50,26.9,1800,Santiago et al. 2004
Dussia,munda,Dussia munda,NA,NA,NA,NA,NA,NA,NA,0.0006732,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Ficus,insipida,Ficus insipida,40,NA,NA,NA,NA,NA,NA,0.0022158,NA,NA,9.16666666666667,79.85,50,26.9,1800,Santiago et al. 2004
Guatteria,dumetorum,Guatteria dumetorum,NA,NA,NA,NA,NA,NA,NA,0.0006912,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Humiriastrum,diguense,Humiriastrum diguense,NA,NA,NA,NA,NA,NA,NA,0.0006138,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Luehea,seemannii,Luehea seemannii,30,NA,NA,NA,NA,NA,NA,0.0020736,NA,NA,9.16666666666667,79.85,50,26.9,1800,Santiago et al. 2004
Manilkara,bidentata,Manilkara bidentata,40,NA,NA,NA,NA,NA,NA,0.000567,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Marila,laxiflora,Marila laxiflora,NA,NA,NA,NA,NA,NA,NA,0.0005382,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Miconia,borealis,Miconia borealis,5,NA,NA,NA,NA,NA,NA,0.001458,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Nectandra,purpurascens,Nectandra purpurascens,NA,NA,NA,NA,NA,NA,NA,0.0010602,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Ocotea,ira,Ocotea ira,NA,NA,NA,NA,NA,NA,NA,0.0008244,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Poulsenia,armata,Poulsenia armata,30,NA,NA,NA,NA,NA,NA,0.000711,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Pourouma,bicolor,Pourouma bicolor,NA,NA,NA,NA,NA,NA,NA,0.0008982,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Simarouba,amara,Simarouba amara,40,NA,NA,NA,NA,NA,NA,0.0018432,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Tapirira,guianensis,Tapirira guianensis,NA,NA,NA,NA,NA,NA,NA,0.001116,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Trattinnickia,aspera,Trattinnickia aspera,NA,NA,NA,NA,NA,NA,NA,0.000774,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Virola,sebifera,Virola sebifera,30,NA,NA,NA,NA,NA,NA,0.0010944,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Vochysia,ferruginea,Vochysia ferruginea,34,NA,NA,NA,NA,NA,NA,0.0016506,NA,NA,9.15,-79.85,60,26.5,3100,Santiago et al. 2004
Populus,trichocarpa,Populus trichocarpa,40,2,-0.909099426,-0.380940484,-1.399789985,77.44188125,NA,NA,NA,NA,47.1666666666667,-122.3,30,10.8,1069,Sparks & Black 1999
Populus,trichocarpa,Populus trichocarpa,40,2,-1.48,-1.081433951,-1.794733627,120.7370193,NA,NA,NA,NA,47.1666666666667,-122.3,30,10.8,1069,Sparks & Black 1999
Brabejum,stellatifolium,Brabejum stellatifolium,15,NA,-2.3,-0.65,-3.364,35.71428571,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
Brabejum,stellatifolium,Brabejum stellatifolium,15,NA,-2.5,-1.21,-3.82,28.78787879,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
Brabejum,stellatifolium,Brabejum stellatifolium,15,NA,-2.48,-1.21,-3.621,33.30411919,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
Brachylaena,nereifolia,Brachylaena nereifolia,NA,NA,-1.53,-0.888,-2.009,79.33194154,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
Brachylaena,nereifolia,Brachylaena nereifolia,NA,NA,-2.07,NA,-2.629,67.97853309,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
Metrosideros,angustifolia,Metrosideros angustifolia,NA,NA,-1.29,-0.292,-5.759,8.50302081,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
Metrosideros,angustifolia,Metrosideros angustifolia,NA,NA,-1.76,NA,-5.14,11.24260355,NA,NA,NA,NA,-33.95,18.9166666666667,300,15.9,945,Swift et al. 2008
